Age,Attrition,BusinessTravel,DistanceFromHome,Education,EmployeeID,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,AvgWorkingHours,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
51,0,1,6,2,1,0,1,131160,1.0,11,0,1.0,6,1,0,0,3,3,3.0,4.0,2.0,7.3736506225000005,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,1,2,10,1,2,0,1,41890,0.0,23,1,6.0,3,5,1,4,2,4,3.0,2.0,4.0,7.7189689263888885,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,0,2,17,4,3,1,4,193280,1.0,15,3,5.0,2,5,0,3,3,3,2.0,2.0,1.0,7.013240358055556,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
38,0,0,2,5,4,1,3,83210,3.0,11,3,13.0,5,8,7,5,2,3,4.0,4.0,3.0,7.193678486944444,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
32,0,1,10,1,5,1,1,23420,4.0,12,2,9.0,2,6,0,4,3,3,4.0,1.0,3.0,8.006174603055555,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
46,0,1,8,3,6,0,4,40710,3.0,13,0,28.0,5,7,7,7,3,3,3.0,2.0,2.0,10.796095874166665,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
28,1,1,11,2,7,1,2,58130,2.0,20,1,5.0,2,0,0,0,3,4,1.0,3.0,1.0,6.923570402222222,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
29,0,1,18,3,8,1,2,31430,2.0,22,3,10.0,2,0,0,0,3,4,1.0,2.0,3.0,6.725620713055555,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
31,0,1,1,3,9,1,3,20440,0.0,21,0,10.0,2,9,7,8,3,4,2.0,4.0,3.0,7.236498792222222,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25,0,0,7,4,10,0,4,134640,1.0,13,1,6.0,2,6,1,5,3,3,2.0,1.0,3.0,7.080087844166667,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
